player,player_id,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Frank Ntilikina,ntilila01,DAL,Stationary Shooter,685,PG,23,,-0.56,-0.94,0.38,0.8,-1.26,-1.05,-0.22,1.62,0.07,1.55
Boban Marjanovic,marjabo01,DAL,Post Scorer,128,C,33,,-0.57,-0.75,0.18,0.1,-1.05,-0.72,-0.34,0.9,0.32,0.59
Neemias Queta,quetane01,SAC,Roll + Cut Big,120,C,22,,-0.57,-0.96,0.39,0.1,-0.72,-0.85,0.14,0,0,0
Juan Toscano-Anderson,toscaju01,GSW,Stretch Big,994,SF,29,,-0.58,-1.14,0.56,1.2,-0.42,-1.48,1.06,1.86,1.26,0.6
Rayjon Tucker,tuckera01,DEN/MIL,Stationary Shooter,71,SG,24,,-0.58,-0.33,-0.25,0.1,-0.52,-0.3,-0.21,0,0,0
Jaysean Paige,paigeja01,DET,Secondary Ball Handler,7,PG,27,,-0.58,-0.45,-0.13,0,-0.41,-0.35,-0.06,0,0,0
Devin Cannady,cannade01,ORL,Slasher,145,PG,25,,-0.58,-0.65,0.07,0.2,-0.63,-0.65,0.02,0,0,0
Nicolas Batum,batumni01,LAC,Stationary Shooter,"1,463",PF,33,,-0.59,-1.77,1.18,1.7,0.69,-0.7,1.39,-0.34,-0.55,0.21
Davis Bertans,bertada01,WAS/DAL,Off Screen Shooter,806,PF,29,,-0.59,-0.2,-0.39,0.9,-0.92,-0.35,-0.57,-0.59,-0.23,-0.36
Seth Curry,curryse01,PHI/BRK,Secondary Ball Handler,"2,134",SG,31,,-0.59,0.01,-0.6,2.5,-1,-0.33,-0.68,0.44,0.69,-0.26
Kyle Kuzma,kuzmaky01,WAS,Movement Shooter,"2,204",PF,26,,-0.59,-0.33,-0.26,2.5,0.24,0.09,0.15,-1.14,-0.42,-0.71
Luke Kornet,kornelu01,CLE/MIL/BOS,Stretch Big,103,C,26,,-0.59,-0.17,-0.41,0.1,-0.89,-0.39,-0.5,0,0,0
Bol Bol,bolbo01,DEN,Roll + Cut Big,81,PF,22,,-0.59,-0.6,0.01,0.1,-0.68,-0.52,-0.16,0.28,0.03,0.25
Damian Jones,jonesda03,SAC,Roll + Cut Big,"1,017",C,26,,-0.6,-1.32,0.72,1.2,-0.4,-1.03,0.63,1,0.63,0.37
Quinndary Weatherspoon,weathqu01,GSW,Roll + Cut Big,73,SG,25,,-0.6,-0.36,-0.24,0.1,-0.87,-0.52,-0.35,0,0,0
Jared Butler,butleja02,UTA,Shot Creator,360,SG,21,,-0.6,0.75,-1.35,0.4,-0.15,0.36,-0.51,-0.6,-0.33,-0.27
Gary Clark,clarkga01,NOP,Stationary Shooter,378,PF,27,,-0.61,-0.77,0.16,0.4,-0.66,-1.04,0.38,-0.08,-0.22,0.14
Amir Coffey,coffeam01,LAC,Stationary Shooter,"1,567",SG,24,,-0.61,-0.14,-0.47,1.8,-0.84,-0.48,-0.35,0.06,-0.73,0.79
Vernon Carey Jr.,careyve01,CHO/WAS,Roll + Cut Big,44,C,21,,-0.61,-0.34,-0.27,0.1,-0.56,-0.34,-0.22,-0.23,-0.05,-0.18
Trayvon Palmer,palmetr01,DET,Roll + Cut Big,17,SG,27,,-0.62,-0.64,0.02,0,-0.52,-0.48,-0.04,0,0,0
