player,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Justin Champagnie,TOR,Stretch Big,281,SF,20,,-1.52,-0.76,-0.76,0.2,-1.88,-1.3,-0.58,0.22,-0.14,0.36
Damion Lee,GSW,Movement Shooter,"1,256",SG,29,,-1.54,-0.89,-0.65,0.7,-0.88,-0.97,0.08,0.01,0.3,-0.29
Kai Jones,CHO,Roll + Cut Big,63,C,21,,-1.54,-0.96,-0.58,0,-1.38,-0.9,-0.48,-0.4,-0.23,-0.17
Tim Frazier,ORL/CLE,Secondary Ball Handler,208,PG,31,,-1.55,-1.52,-0.03,0.1,-1.28,-1.31,0.03,0,0,0
Mychal Mulder,ORL/MIA,Movement Shooter,240,PG,27,,-1.55,-1.27,-0.28,0.1,-1.45,-1.27,-0.18,-0.59,-0.27,-0.32
Myles Powell,PHI,Secondary Ball Handler,52,PG,24,,-1.55,-0.75,-0.8,0,-1.37,-0.7,-0.66,0,0,0
Joe Wieskamp,SAS,Movement Shooter,205,SG,22,,-1.55,-0.98,-0.57,0.1,-2.01,-1.33,-0.68,0.08,0.15,-0.06
Emanuel Terry,PHO,Roll + Cut Big,18,PF,25,,-1.57,-0.67,-0.9,0,-1.24,-0.48,-0.77,0,0,0
Bryn Forbes,SAS/DEN,Off Screen Shooter,"1,286",SG,28,,-1.58,-0.33,-1.25,0.7,-2.16,-0.38,-1.78,1.01,0.59,0.42
Willie Cauley-Stein,DAL/PHI,Roll + Cut Big,183,C,28,,-1.59,-1.78,0.19,0.1,-1.78,-1.67,-0.11,0.27,-0.19,0.46
Lindell Wigginton,MIL,Secondary Ball Handler,199,PG,24,,-1.59,-0.63,-0.96,0.1,-1.11,-0.79,-0.33,0,0,0
Reggie Perry,POR/IND,Roll + Cut Big,187,PF,22,,-1.6,-0.98,-0.61,0.1,-0.81,-0.8,-0.02,0,0,0
De'Andre Hunter,ATL,Stationary Shooter,"1,577",SF,24,,-1.6,-1.77,0.17,0.8,-1.24,-0.9,-0.34,-1.35,-0.77,-0.59
Kenyon Martin Jr.,HOU,Stretch Big,"1,656",SF,21,,-1.61,0.28,-1.88,0.8,-1.98,-0.94,-1.05,0.92,1.66,-0.74
Matt Thomas,CHI,Movement Shooter,459,SG,27,,-1.62,-0.62,-1,0.2,-1.79,-0.96,-0.83,-0.64,-0.43,-0.21
Serge Ibaka,LAC/MIL,Stretch Big,878,C-PF,32,,-1.63,-1.82,0.19,0.4,-0.7,-1.18,0.48,-1.45,-0.51,-0.94
Kris Dunn,POR,Secondary Ball Handler,336,PG,28,,-1.63,-1.02,-0.61,0.2,-1.18,-1.37,0.19,0,0,0
Jae'Sean Tate,HOU,Stretch Big,"2,056",SF,26,,-1.63,-1.25,-0.38,1,-1.39,-0.81,-0.57,-1.72,-1.24,-0.48
Brad Wanamaker,IND/WAS,Secondary Ball Handler,320,PG,32,,-1.67,-1.61,-0.06,0.1,-1.77,-1.54,-0.23,-0.2,-0.41,0.21
Kessler Edwards,BRK,Stretch Big,987,SF,21,,-1.67,-1.6,-0.06,0.4,-2.26,-2.19,-0.06,0.07,0.06,0.02
Nick Richards,CHO,Roll + Cut Big,367,C,24,,-1.68,-2.42,0.74,0.2,-1.67,-2.1,0.43,0.35,-0.44,0.8
Jake Layman,MIN,Athletic Finisher,231,SF,28,,-1.69,-1.34,-0.35,0.1,-1.9,-1.44,-0.46,0.1,0.11,0.01
Dennis Schroder,BOS/HOU,Stationary Shooter,"1,837",SG-PG,28,,-1.71,-1.18,-0.54,0.8,-0.47,0.14,-0.61,-0.13,-0.12,0.01
Norman Powell,POR/LAC,Stationary Shooter,"1,458",SF-SG,28,,-1.71,0.29,-2,0.6,-1.07,0,-1.07,0.47,1.25,-0.78
Alperen Sengun,HOU,Post Scorer,"1,489",C,19,,-1.71,-1.04,-0.67,0.6,-0.62,-0.68,0.06,-2.2,-0.09,-2.11
Killian Tillie,MEM,Stretch Big,461,C,24,,-1.72,-1.79,0.07,0.2,-1.89,-2,0.11,0.64,0.67,-0.02
Facundo Campazzo,DEN,Secondary Ball Handler,"1,184",PG,31,,-1.72,-1.77,0.05,0.5,0.23,-0.27,0.49,-4.09,-1.95,-2.13
Javonte Smart,MIL/MIA,Secondary Ball Handler,200,PG,22,,-1.72,-1.34,-0.39,0.1,-1.27,-1.01,-0.26,0.84,0.38,0.46
Josh Green,DAL,Athletic Finisher,"1,039",SG,21,,-1.73,-2.06,0.33,0.4,-1.59,-1.89,0.29,1.43,0.34,1.09
Aaron Nesmith,BOS,Stationary Shooter,574,SF,22,,-1.77,-1.51,-0.26,0.2,-2.27,-1.74,-0.52,-1.44,-0.91,-0.52
Wesley Matthews,MIL,Stationary Shooter,"1,002",SG,35,,-1.78,-1.29,-0.48,0.4,-2.54,-1.92,-0.62,0.99,0.55,0.44
Furkan Korkmaz,PHI,Movement Shooter,"1,414",SG,24,,-1.78,-0.62,-1.16,0.5,-1.56,-0.53,-1.03,-1.19,-0.75,-0.44
Haywood Highsmith,MIA,Stretch Big,163,SF,25,,-1.8,-1.2,-0.6,0.1,-1.33,-1,-0.33,0,0,0
